name,stationID,聚类簇号,站点类型,日均总客流,周末比,早高峰进站占比,晚高峰进站占比,早高峰出站占比
Tangqiao,420,0,就业办公站,87369.43773946361,0.5964799296590123,0.10162945627909685,0.08044812659541203,0.10393639583354722
Nanpu Bridge,421,3,通勤居住站,49852.0316091954,0.7153811242398774,0.09283324714962536,0.09435170938014353,0.11412456277535961
Luban Road,423,0,就业办公站,75590.49616858238,0.6314183943066994,0.08504555802636132,0.10066285739201006,0.1193321679568997
Shanghai Stadium,426,0,就业办公站,83102.03544061302,0.7087032336950977,0.07793801258397927,0.10029920739377378,0.11457971043217308
Chunshen Road,502,2,休闲商圈站,18073.137931034486,0.5901327332945668,0.15166054542978655,0.05755982852454958,0.07295046309950139
Yindu Road,503,2,休闲商圈站,23826.721264367814,0.49538797095970893,0.11665730076018874,0.09731923198602703,0.1068883473195797
Zhuanqiao,505,3,通勤居住站,51996.053639846745,0.6469070153830992,0.12148582795927505,0.07476393232746402,0.0754270281433584
Beiqiao,507,3,通勤居住站,45606.60249042146,0.7666769298265533,0.15217127006608835,0.04837789187912752,0.06197592067988191
Jianchuan Road,508,2,休闲商圈站,33509.13218390805,0.7650971704384869,0.1388798292645111,0.058023183277866305,0.06736709932222607
Dongchuan Road,509,3,通勤居住站,59331.49712643678,0.7778250107285863,0.13722916182110068,0.05815034226739837,0.06220145663168374
Jingping Road,510,2,休闲商圈站,34490.05172413793,0.733730215821103,0.16086276276550773,0.03467516526759673,0.04922476700102791
Huaning Road,511,2,休闲商圈站,20801.530651340996,0.6242415348982202,0.15316718772412288,0.04069405567667487,0.05180046403161347
Wenjing Road,512,1,郊区低频站点,6685.511494252873,0.28856344680605955,0.07069251108112866,0.13757835404232577,0.15727901082973939
Minhang Development Zone,513,1,郊区低频站点,13651.343869731802,0.6955770100173698,0.13201192789905639,0.06181643230058294,0.08112209900535311
South Lingyan Road,622,2,休闲商圈站,29855.370689655174,0.6459862005245779,0.19341041601940312,0.0322138584970796,0.058433367395439806
Shangnan Road,623,2,休闲商圈站,27321.649425287353,0.622668294124835,0.16929197531779902,0.053025152957165755,0.06857743185121408
West Huaxia Road,624,2,休闲商圈站,22511.944444444445,0.5321891495379403,0.1665615745620412,0.03847834998075401,0.07669945958606257
Gaoqing Road,625,2,休闲商圈站,31842.88122605364,0.5873737295602277,0.20028672587447105,0.036200668416332134,0.06629390776220329
Dongming Road,626,2,休闲商圈站,32844.889846743295,0.6291950147962365,0.18090944169807402,0.0427455886041063,0.0745180350559207
Linyi Xincun,628,2,休闲商圈站,35428.5775862069,0.5459859259129223,0.12596407379140387,0.09068186082349189,0.10592342428059523
Shanghai Children's Medical Center,629,2,休闲商圈站,31679.179118773944,0.6242783999918278,0.11265113073982437,0.06142329136126667,0.09175006264485687
Yuanshen Sports Center,633,2,休闲商圈站,38297.63697318008,0.6277742738375685,0.06379825948776931,0.11039553767323099,0.11511248976458982
Minsheng Road,634,2,休闲商圈站,34405.44540229885,0.6943324301116414,0.10803717206600398,0.08307392405574772,0.09023433211056903
Beiyangjing Road,635,2,休闲商圈站,33278.27681992337,0.7054875504515729,0.11547295103011533,0.07016916524121951,0.08204672473160052
Deping Road,636,3,通勤居住站,49124.88026819924,0.7366648977100139,0.1455038392346335,0.051049717859513254,0.06541712962288622
Yunshan Road,637,3,通勤居住站,46566.14176245211,0.692252565196645,0.16357795219297683,0.04991370360163255,0.06205708744729003
Jinqiao Road,638,0,就业办公站,78499.14750957856,0.7591597550088964,0.11907563028082646,0.07781825852770755,0.08176068696926346
